User,Person,user_id
HE1021-900,OF29VL,36
HE1021-902,HA5AN,38
HE1021-904,MA6HE,39
HE1021-905,BÜ26LI,40
HE1021-906,BA5BR,41
HE1021-907,GI11SI,42
HE1021-908,AS20UR,43
HE1021-909,LI27AN,44
HE1021-911,SA20AN,46
HE1021-914,RE15AN,49
HE1021-915,LU28RE,50
HE1021-917,BA12AN,52
HE1021-922,NI12KA,55
HE1021-923,HA26CL,56
HE1021-924,BE19UT,57
HE1021-927,ST1MA,60
HE1021-928,FR28JO,61
HE1021-930,BA5SA,63
HE1021-932,FR14AN,65
HE1021-933,SC24SY,66
HE1021-934,KA16LY,67
HE1021-936,RI9JI,69
HE1021-937,KA1MA,70
HE1021-940,GR4ST,73
HE1021-950,ER14CL,75
HE1021-951,WE20SA,76
HE1021-952,FR6BR,77
HE1021-953,LI13SI,78
HE1021-954,FU14KE,79
HE1021-955,GI25KE,80
HE1021-956,BÜ30MI,81
HE1022-800,AL21AN,0
HE1022-801,LA12KA,1
HE1022-802,GI17VI,2
HE1022-804,GI15AN,4
HE1022-805,GÖ18AN,5
HE1022-807,WE27KE,7
HE1022-808,WE10EL,8
HE1022-810,SC30TI,9
HE1022-811,BO75LO,10
HE1022-812,KO31AN,11
HE1022-816,NO25CH,15
HE1022-817,DÜ12HE,16
HE1022-819,FR19UT,18
HE1022-821,WI10ME,20
HE1022-824,BU25SU,23
HE1022-828,CA13IS,27
HE1022-829,IT16SY,28
HE1022-830,KA2AN,29
HE1022-831,HÜ9MO,30
HE1022-832,KA8TA,31
HE1022-833,BA9JA,32
HE1022-834,HE5BI,33
HE1022-835,TR4CH,34
HE1022-920,FR19CA,35
